date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
13-05-2025,17:30:00,Portogallo,Serbia,1-1,1,1,2025-05-13 17:30:00,314,X,"Under 2,5 Goal",128,GG,224
13-05-2025,17:25:00,Olanda,Svizzera,1-1,1,1,2025-05-13 17:25:00,317,X,"Under 2,5 Goal",129,GG,225
13-05-2025,17:20:00,Colombia,Italia,1-1,1,1,2025-05-13 17:20:00,302,X,"Under 2,5 Goal",131,GG,217
13-05-2025,17:15:00,Argentina,Olanda,2-1,2,1,2025-05-13 17:15:00,239,1,"Over 2,5 Goal",247,GG,221
13-05-2025,17:10:00,Brasile,Francia,0-1,0,1,2025-05-13 17:10:00,241,2,"Under 2,5 Goal",130,NG,138
13-05-2025,17:05:00,Italia,Uruguay,0-4,0,4,2025-05-13 17:05:00,225,2,"Over 2,5 Goal",247,NG,138
13-05-2025,17:00:00,Spagna,Turchia,2-2,2,2,2025-05-13 17:00:00,311,X,"Over 2,5 Goal",247,GG,220
13-05-2025,16:55:00,Francia,Spagna,1-2,1,2,2025-05-13 16:55:00,219,2,"Over 2,5 Goal",251,GG,225
13-05-2025,16:50:00,Danimarca,Olanda,0-3,0,3,2025-05-13 16:50:00,223,2,"Over 2,5 Goal",247,NG,138
13-05-2025,16:45:00,Italia,Portogallo,0-1,0,1,2025-05-13 16:45:00,228,2,"Under 2,5 Goal",130,NG,138
13-05-2025,16:40:00,Germania,Messico,1-1,1,1,2025-05-13 16:40:00,316,X,"Under 2,5 Goal",128,GG,225
13-05-2025,16:34:00,Croazia,Inghilterra,0-0,0,0,2025-05-13 16:34:00,326,X,"Under 2,5 Goal",130,NG,138
13-05-2025,16:28:00,Colombia,Spagna,1-1,1,1,2025-05-13 16:28:00,302,X,"Under 2,5 Goal",131,GG,217
13-05-2025,16:22:00,Cile,Olanda,2-1,2,1,2025-05-13 16:22:00,243,1,"Over 2,5 Goal",251,GG,226
13-05-2025,16:16:00,Brasile,Nigeria,1-0,1,0,2025-05-13 16:16:00,200,1,"Under 2,5 Goal",129,NG,139
